motivation,hear_about,prior_participation,activities_experience,class_interest,which_class
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],3,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']",['High School'],['Virtual Session'],"['School Computing Class', 'Teacher Counselor']",1,['N/A']
"['To keep current in computing skills', 'Career Advancement', 'Career Change', 'Professional Development', 'IT Industry Certifications']","['Web site', 'Family member or friend', 'Current student', 'High School', 'Live nearby']",['None'],"['Family Friend', 'Family Friend Computing', 'Employer']",5,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Community Event', 'Family member or friend', 'Employer', 'Current student', 'High School']",['Oncampus Session'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],"['Current student', 'High School']",['None'],['School Computing Class'],5,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Professional Development', 'Personal Enrichment', 'Curiosity']","['Web site', 'Billboard', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Alumni', 'High School']",['Women Dare'],['None'],5,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Family member or friend', 'High School']",['None'],['None'],4,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Professional Development', 'Personal Enrichment']","['Web site', 'Family member or friend', 'Alumni', 'High School']","['Open House', 'Regional Fair']","['Family Friend', 'Family Friend Computing']",4,['N/A']
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Family member or friend', 'I would pass by CCM all the time']","['Open House', 'Oncampus Session']","['Family Friend', 'Employer']",2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['Virtual Session'],['Teacher Counselor'],2,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['Oncampus Session'],"['School Computing Class', 'Family Friend', 'Teacher Counselor']",2,['N/A']
['It’s a required class for the degree I’m seeking'],['Billboard'],"['Women Dare', 'Regional Fair']","['Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Teacher Counselor']",5,['Web Development']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Social Media', 'Family member or friend', 'Current student', 'High School']",['None'],['None'],3,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Change', 'Financial']",['Family member or friend'],['None'],['None'],3,"['CyberSecurity', 'App Development', 'Computer Programming', 'Game Design']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']",['Current student'],['None'],['None'],2,['Machine Learning/Artificial Intelligence']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'High School']",['None'],['None'],2,"['Game Design', 'Hardware Installation & Repair']"
['Curiosity'],['Family member or friend'],['None'],"['Family Friend', 'Family Friend Computing', 'Teacher Counselor']",4,"['Web Development', 'CyberSecurity', 'Machine Learning/Artificial Intelligence', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['Teacher Counselor'],2,['Data Analytics']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],"['Family Friend', 'Family Friend Computing']",1,['N/A']
['It’s a required class for the degree I’m seeking'],['Current student'],['None'],['None'],1,['N/A']
